Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_bytes,852803.325,857743.913,849977.821,854654.75,848326.411,850530.67,859359.98,855695.35,857929.099,847677.513,853318.991,847700.855,854675.97,853496.992,854540.691,849553.744,858177.712,856893.047,860101.336,856395.595,854467.302,850056.599,852877.286,856038.668,853004.486,857933.004,858645.419,857696.749,863998.284,848876.293,0.479284089
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readLong_bytes,862054.502,867592.767,868320.387,858000.435,864323.49,868061.74,857632.825,863383.774,863178.112,861077.281,859182.403,863768.819,861287.682,857157.141,868309.723,863661.376,865414.236,867923.659,856903.217,862498.302,860519.622,862228.727,863421.224,860500.605,865350.633,864924.616,855105.817,857312.858,853904.337,857319.246,0.475102913
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_writeAscii_long,602110.12,598617.844,600337.355,603557.805,606901.215,603156.777,609403.882,598706.956,599350.405,602223.359,597755.425,603272.992,600549.612,604563.477,601253.218,604004.071,606567.584,605207.731,603092.528,600479.198,605503.006,602365.798,604298.164,605381.898,604151.741,604234.946,605509.711,603790.574,597858.173,600063.595,0.475059817
zipkin2.storage.InMemoryStorageTest._Benchmark.benchmark_toStringContainsOnlySummaryInformation,734995.379,740196.855,740102.468,734539.778,734489.875,730401.769,734914.242,732453.179,738057.759,733408.838,732968.596,740601.862,738470.625,738048.012,730704.961,731851.349,734346.531,735996.916,740036.227,733283.529,737347.032,740546.543,742293.645,738761.121,741217.131,737880.702,739445.763,741912.098,733315.623,738209.81,0.47372488
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_utf8_matchesAscii,666505.37,664931.954,660317.322,664905.139,665332.726,665377.73,667927.9,664951.264,667756.663,667149.286,663674.039,662398.468,665450.287,668173.469,667328.033,662577.058,661160.604,668967.32,664678.61,663928.973,658652.072,661085.922,660617.958,663024.812,659692.059,662578.872,656426.686,664777.833,660429.199,664328.249,0.463153798
zipkin2.internal.WriteBufferTest._Benchmark.benchmark_unsignedVarintSize_64_largest,916679.111,916880.574,914287.719,905594.04,906223.963,916260.96,910554.026,908551.355,906644.872,907291.898,915626.597,915599.883,914712.562,910661.692,915270.952,912894.128,908649.358,912167.863,911962.254,912436.682,916836.684,910806.572,915468.627,911722.717,914427.089,916311.762,904874.826,908468.534,905424.693,903727.815,0.454246317
zipkin2.codec.SpanBytesEncoderTest._Benchmark.benchmark_span_minimum_JSON_V2,694259.267,693319.583,697422.278,694017.726,695387.919,696555.849,696108.011,697121.625,690135.918,691632.57,692304.622,699217.091,694272.716,696362.841,698062.687,695354.217,699339.396,695827.804,698512.698,697006.005,696791.424,701038.359,695829.417,698611.48,698596.912,700003.503,695661.139,695936.442,687404.949,689784.681,0.452909456
zipkin2.internal.ReadBufferTest._Benchmark.benchmark_readInt_byteBuff,825069.959,823201.075,819614.791,822743.717,833111.333,832434.271,831427.757,833276.973,832205.749,831832.409,833489.865,833579.256,833871.735,834110.696,834655.385,833811.42,832597.981,832240.959,831619.704,830123.797,832542.809,832641.9,834150.92,831986.191,834256.409,833097.222,834058.752,833764.387,832645.707,831003.918,0.451154279
zipkin2.EndpointTest._Benchmark.benchmark_missingIpv4IsNull,876852.12,876234.916,879587.131,882739.626,887300.86,883905.507,876849.342,883794.554,884664.505,887702.415,886808.118,878142.283,879159.604,886915.401,889303.575,882664.296,879478.977,878872.688,889110.451,886669.585,882112.048,877872.687,883090.67,888791.401,883559.845,884922.918,881918.355,882187.747,887657.715,884059.475,0.448635495
zipkin2.AnnotationTest._Benchmark.benchmark_toString_isNice,784948,784026.599,785392.31,780019.075,784541.792,786695.364,779280.468,783884.062,781685.228,778965.017,780947.261,786634.498,788271.621,779882.87,786256.183,788822.743,786884.748,783579.602,782479.748,780253.543,788361.465,787228.317,785443.789,784074.793,781120.032,785906.08,774318.188,787027.227,786648.578,787402.194,0.44234786
