Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
org.eclipse.collections.impl.clusters.Cluster_1007._Benchmark.benchmark_Cluster_1007,146655.361,145847.453,145853.052,146017.288,145995.778,146164.361,145994.497,145657.108,145362.484,145660.37,146493.983,146335.856,145536.043,146395.76,145470.246,145876.283,146407.524,145073.829,144542.185,144555.02,145390.297,146053.206,145229.832,145218.473,145315.192,145608.863,145154.36,145184.773,144768.348,145737.19,0.381038508
org.eclipse.collections.impl.clusters.Cluster_1008._Benchmark.benchmark_Cluster_1008,180974.598,180166.319,181275.176,179434.979,182815.178,180308.179,180324.931,179666.151,181111.226,180653.354,181456.373,181435.923,181952.781,182295.839,180897.251,180167.651,179886.137,180547.095,182051.747,181254.09,182417.012,180574.106,181982.256,179539.063,180314.894,181031.527,181401.806,180435.666,181435.542,181348.342,0.483388061
org.eclipse.collections.impl.clusters.Cluster_1009._Benchmark.benchmark_Cluster_1009,149335.106,151111.575,150248.203,149632.359,149366.494,149579.046,150344.899,149723.398,150736.24,150819.603,150936.348,150554.959,149877.148,150749.763,150583.168,149559.125,150160.999,150641.921,151484.001,150375.51,150772.159,151149.975,150975.581,150888.425,149894.625,149821.878,149904.697,149866.376,149788.152,149295.151,0.409514892
org.eclipse.collections.impl.clusters.Cluster_101._Benchmark.benchmark_Cluster_101,182035.833,182603.885,182613.844,183360.788,181530.257,182131.343,182600.889,183514.894,182117.974,182915.037,181947.231,181584.547,182138.014,181968.062,183317.836,183513.496,182547.928,184423.096,184269.393,182416.637,183264.75,182257.55,183351.89,181960.629,181578.835,184279.079,184515.027,182479.618,182181.222,181786.052,0.482840456
org.eclipse.collections.impl.clusters.Cluster_1010._Benchmark.benchmark_Cluster_1010,93873.718,93540.453,93360.925,93267.743,94602.952,94821.042,94406.899,93053.849,93640.572,93728.574,94300.659,93592.946,93517.15,92659.375,94164.812,94407.256,93053.387,93831.578,94304.77,93232.967,93617.078,94146.898,94109.924,93895.828,93175.154,92729.36,93477.943,93780.22,93843.406,93466.518,0.571670972
org.eclipse.collections.impl.clusters.Cluster_1011._Benchmark.benchmark_Cluster_1011,153337.862,153011.633,154250.836,153115.415,152967.385,153774.565,154639.458,153739.865,153555.263,152891.783,153607.26,153386.651,154172.541,154970.572,153844.794,154377.567,154506.435,154329.144,153697.221,153621.778,153441.468,153668.033,153619.276,153602.759,153551.134,154034.242,153961.911,154787.186,154110.974,152423.727,0.381134549
org.eclipse.collections.impl.clusters.Cluster_1012._Benchmark.benchmark_Cluster_1012,199449.44,199951.988,200476.76,200891.468,200788.362,200017.703,199551.811,200343.519,199398.458,200680.908,199578.622,202179.891,202412.151,201087.193,199590.692,201655.146,200609.059,199471.022,199613.247,200112.452,200510.081,200395.879,199427.13,199706.664,199582.555,199279.477,198888.426,199797.15,200211.243,199840.733,0.421093777
org.eclipse.collections.impl.clusters.Cluster_1013._Benchmark.benchmark_Cluster_1013,148699.457,147869.043,149928.004,147995.022,147712.771,147581.51,147774.427,148948.327,147856.997,149253.756,150495.682,150324.422,149675.609,149606.289,149927.998,149703.868,150450.597,149746.747,148918.54,148933.92,149554.139,148303.486,147919.641,147988.534,148192.01,147712.422,148063.53,147035.286,147323.428,149609.281,0.686595205
org.eclipse.collections.impl.clusters.Cluster_1014._Benchmark.benchmark_Cluster_1014,249605.23,248107.959,248714.763,245990.902,250047.352,247799.931,248373.96,248497.295,250432.746,250530.972,251365.669,250514.057,249897.578,251128.908,250712.776,249550.274,249202.096,247358.212,249854.285,247977.325,248333.018,250431.982,249354.063,249453.978,249647.19,248665.003,247943.7,248827.387,249280.121,248674.309,0.484213276
org.eclipse.collections.impl.clusters.Cluster_1015._Benchmark.benchmark_Cluster_1015,179704.195,180988.698,181015.065,180702.045,181056.382,180938.48,181342.86,181524.949,181393.32,181888.485,181115.905,181065.233,181846.364,181149.323,180422.918,180006.959,180751.502,181195.404,180317.255,180602.061,181374.719,181365.278,180724.305,180040.476,180159.22,181102.48,180636.329,181070.678,180358.101,180230.317,0.299892713
