Benchmark Name,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Iteration 6,Iteration 7,Iteration 8,Iteration 9,Iteration 10,Iteration 11,Iteration 12,Iteration 13,Iteration 14,Iteration 15,Iteration 16,Iteration 17,Iteration 18,Iteration 19,Iteration 20,Iteration 21,Iteration 22,Iteration 23,Iteration 24,Iteration 25,Iteration 26,Iteration 27,Iteration 28,Iteration 29,Iteration 30,RSD
io.reactivex.rxjava3.internal.operators.maybe.MaybeSwitchIfEmptySingleTest._Benchmark.benchmark_dispose,5829591.892,5819534.252,5830654.126,5834077.947,5848554.828,5831149.384,5821321.378,5829035.749,5832500.259,5838232.772,5823856.69,5833026.876,5831565.692,5826382.575,5824533.225,5822038.874,5822555.159,5839856.454,5821302.645,5829642.269,5829773.49,5833583.589,5826663.724,5817279.939,5841465.035,5810761.198,5811319.195,5819226.779,5821092.106,5830963.829,0.145434275
io.reactivex.rxjava3.internal.operators.single.SingleStartWithTest._Benchmark.benchmark_justObservableEmpty,3317715.227,3313822.934,3317489.067,3317517.837,3318317.69,3319788.762,3311426.609,3325075.396,3321837.799,3316179.772,3315946.783,3311055.965,3317020.644,3316856.657,3326789.847,3316258.617,3308937.157,3323002.261,3315303.857,3326457.055,3310557.721,3317597.451,3321507.136,3315121.027,3322811.638,3315835.65,3312898.004,3313114.354,3309142.067,3321406.59,0.145929212
io.reactivex.rxjava3.maybe.MaybeTest._Benchmark.benchmark_concat2Empty,5181180.085,5190701.349,5174883.521,5182336.092,5177652.102,5175561.832,5180841.779,5177228.943,5178450.818,5170396.395,5179061.306,5188225.79,5175802.276,5184470.913,5176240.521,5165657.902,5167451.794,5157940.86,5184472.835,5177402.388,5184340.412,5185125.273,5179794,5171503.194,5171691.681,5181280.981,5195798.198,5182780.16,5174333.163,5177756.678,0.146672146
io.reactivex.rxjava3.internal.schedulers.ScheduledRunnableTest._Benchmark.benchmark_withoutParentDisposed,31608462.01,31672554.29,31648340.78,31628497.34,31650087.07,31705448.57,31688146.09,31691754.24,31654943.54,31678661.77,31617188.07,31630799.69,31558348.23,31536768.58,31659327.61,31659569.94,31579057.17,31590204.87,31626868.03,31617287.03,31666611.92,31680836.6,31693040.05,31616930.39,31717139.28,31733415.53,31648089.18,31698149.01,31691202.48,31667114.71,0.147052674
io.reactivex.rxjava3.internal.jdk8.FlowableFromStreamTest._Benchmark.benchmark_closeCalledAfterItems,4118792.19,4107929.23,4100991.761,4103643.979,4111272.642,4121394.67,4105484.129,4113197.074,4113404.611,4114436.324,4106689.149,4102380.485,4108137.106,4108968.048,4124186.984,4109630.161,4111277.401,4113294.745,4103803.851,4110867.259,4107255.405,4114051.137,4122637.268,4105560.026,4118665.723,4109999.44,4113189.697,4106723.283,4106545.241,4103923.038,0.147085064
io.reactivex.rxjava3.internal.operators.observable.ObservableConcatTest._Benchmark.benchmark_noCancelPreviousIterable,1500757.499,1504075.986,1501883.668,1500637.196,1496721.003,1500282.893,1503841.558,1503401.734,1499928.136,1503450.681,1503859.658,1504554.642,1503246.003,1505132.265,1503006.662,1503690.561,1501181.44,1506944.595,1499424.195,1501745.249,1502421.419,1501084.274,1501552.634,1500742.857,1498169.865,1500076.136,1500302.699,1501842.671,1498628.908,1501845.465,0.147218469
io.reactivex.rxjava3.internal.operators.flowable.FlowableConcatTest._Benchmark.benchmark_scalarAndEmptyBackpressured,4296467.472,4289376.931,4302713.987,4304965.962,4283715.397,4290723.11,4294728.53,4299729.105,4299294.528,4290262.062,4285845.142,4297772.328,4298492.362,4303427.065,4289068.869,4284707.77,4288882.286,4289777.191,4296623.524,4304702.055,4293887.166,4285059.355,4295669.657,4295931.441,4283535.564,4285901.238,4289419.419,4294203.685,4289255.697,4293173.845,0.147948889
io.reactivex.rxjava3.internal.operators.maybe.MaybeConcatArrayTest._Benchmark.benchmark_cancel,4431894.932,4435037.347,4442195.374,4438382.434,4441269.342,4445418.275,4427145.886,4427664.433,4423024.252,4435720.745,4430158.613,4427012.183,4436333.127,4438300.395,4439749.897,4438377.565,4432352.551,4424939.709,4435640.767,4435488.624,4445085.456,4435862.481,4430496.913,4427755.184,4440788.675,4443809.828,4440361.445,4445289.896,4424668.346,4435312.359,0.148009332
io.reactivex.rxjava3.internal.operators.observable.ObservableRefCountTest._Benchmark.benchmark_onlyFirstShouldSubscribeAndLastUnsubscribe,2835428.825,2832454.058,2825067.907,2840677.777,2838969.928,2840046.829,2840718.917,2831596.576,2838625.086,2833809.919,2836389.518,2837484.302,2828880.781,2835895.636,2828542.911,2838319.822,2840580.63,2835047.065,2841385.158,2831982.972,2835835.48,2833820.521,2833111.43,2835347.881,2842093.071,2834104.569,2835929.476,2834751.663,2842474.89,2835420.888,0.148036189
io.reactivex.rxjava3.internal.operators.observable.ObservableRepeatTest._Benchmark.benchmark_whenTake,2146450.124,2139974.08,2146873.922,2143732.566,2140788.781,2147399.911,2136692.649,2144449.164,2138891.768,2139345.164,2146041.152,2137316.14,2143466.665,2142142.166,2144027.021,2142475.243,2141659.42,2137700.358,2137198.997,2141228.772,2139794.878,2144318.415,2137206.298,2143971.292,2145465.389,2143734.338,2141525.668,2141626.266,2137498.421,2140660.72,0.14825382
